NCBI_taxonomy_name,fmin,fmax
Mycolicibacterium fortuitum,619,1849
Escherichia coli,0,861
Pseudomonas aeruginosa,1398,2136
Escherichia coli,0,861
Escherichia coli,0,1149
Klebsiella pneumoniae,16,874
Burkholderia pseudomallei,0,810
Proteus mirabilis,239,1115
Acinetobacter baumannii,590,1421
Escherichia coli,1158,2067
Klebsiella pneumoniae,0,858
Pseudomonas aeruginosa,0,828
Chryseobacterium indologenes,0,729
Staphylococcus aureus,0,660
Acinetobacter baumannii,0,864
Plasmid pTB913,240,1002
Escherichia coli,111,981
Klebsiella pneumoniae,117,993
Klebsiella pneumoniae,193,1054
Acinetobacter calcoaceticus,0,822
Klebsiella pneumoniae,0,861
Acinetobacter baumannii,0,825
Rhodococcus rhodochrous,435,1611
Serratia marcescens,0,741
Citrobacter freundii,0,1146
Streptococcus agalactiae,5192,6671
Pseudomonas aeruginosa,482,1223
Acinetobacter baumannii,0,825
Mammaliicoccus sciuri,162,894
Klebsiella pneumoniae,0,858
Rhodococcus hoagii,1539,2580
Escherichia coli,62,938
Citrobacter freundii,1026,2172
Escherichia coli,2810082,2811255
Acinetobacter calcoaceticus,0,822
Paenibacillus popilliae,5939,6971
Citrobacter freundii,2306,2951
Acinetobacter calcoaceticus,0,822
Escherichia coli,3196,4042
Acinetobacter baumannii,0,813
Acinetobacter baumannii,11722,12565
Pseudomonas aeruginosa,0,801
Pseudomonas aeruginosa,0,801
Klebsiella pneumoniae,0,861
Escherichia coli,274,1150
Acinetobacter baumannii,111,987
Escherichia coli,0,861
Acinetobacter baumannii,141,1002
Pseudomonas aeruginosa,2743,3589
Escherichia coli,0,870
Escherichia coli,0,657
Klebsiella pneumoniae,0,858
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,876
Acinetobacter baumannii,171,996
Streptococcus pneumoniae,0,2160
uncultured bacterium,59,1619
Providencia stuartii,263,800
Klebsiella oxytoca,367,1228
Pseudomonas aeruginosa,0,801
Acinetobacter johnsonii,0,825
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,1330,4471
Klebsiella pneumoniae,0,801
Klebsiella pneumoniae,40,1186
Escherichia coli,36,681
Klebsiella pneumoniae,214,1075
Citrobacter koseri,0,1140
Morganella morganii,0,1140
Enterococcus faecalis,6004,6613
Bacteroides fragilis,555,1458
Aeromonas veronii,196,961
Salmonella enterica,2161325,2162750
Enterobacter sp.,40,796
Paenibacillus popilliae,4978,5947
Stenotrophomonas maltophilia,100,655
Bacillus subtilis,339155,339749
Pseudomonas aeruginosa,46,946
Citrobacter freundii,0,1146
Staphylococcus aureus,0,735
Enterobacter cloacae,0,864
Pseudomonas aeruginosa,0,861
Escherichia coli,0,861
Salmonella enterica,377,947
Acinetobacter baumannii,0,822
Vibrio cholerae,883,1540
Acinetobacter baumannii,0,825
Salmonella enterica,131,992
Pseudomonas aeruginosa,1821,2622
Acinetobacter baumannii,0,825
Salmonella enterica,0,681
Pseudomonas aeruginosa,0,801
Pseudomonas aeruginosa,145,1012
Aeromonas caviae,0,1149
Rhodococcus hoagii,2576,3185
Enterococcus faecium,3056,3758
Erysipelothrix rhusiopathiae,25,1945
Bacteroides coprosuis,0,1923
Escherichia coli,0,876
Klebsiella pneumoniae,175,1036
Staphylococcus aureus,628,2287
Pseudomonas aeruginosa,0,864
Klebsiella pneumoniae,476,1337
Escherichia coli,3203309,3204131
Acinetobacter colistiniresistens,0,441
Klebsiella oxytoca,161,1037
Streptomyces antibioticus,0,1275
Escherichia coli,0,876
Bacillus subtilis,1376516,1376855
Klebsiella pneumoniae,111,972
Klebsiella pneumoniae,0,864
Klebsiella pneumoniae,0,1143
Pseudomonas aeruginosa,15593,16397
Enterococcus hirae,33,582
Salmonella enterica,0,657
Acinetobacter baumannii,16,841
Escherichia coli,0,861
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,876
Escherichia coli,0,1146
Pasteurella multocida,539,1325
Escherichia coli,0,1188
Acinetobacter baumannii,0,825
Enterobacter cloacae,0,879
Klebsiella pneumoniae,1479,2223
Acinetobacter baumannii,0,825
Acinetobacter baumannii,0,825
Proteus mirabilis,30,906
Escherichia coli,2812615,2814154
Providencia stuartii,0,873
Streptomyces wedmorensis,7388,8381
Enterobacter cloacae,0,882
Klebsiella pneumoniae,1598,2378
Acinetobacter baumannii,251961,252762
Pseudomonas aeruginosa,5481,6237
Klebsiella pneumoniae,8,884
Escherichia coli,0,681
Pseudomonas aeruginosa,0,801
Acinetobacter baumannii,0,825
Vibrio cholerae,0,657
Acinetobacter baumannii,0,822
Klebsiella pneumoniae,0,840
Acinetobacter baumannii,0,825
Pseudomonas aeruginosa,0,801
Citrobacter freundii,1027,2173
Hafnia alvei,0,1161
Klebsiella pneumoniae,0,882
Proteus mirabilis,157,1033
Escherichia coli,208,1069
Klebsiella oxytoca,183,1056
Acinetobacter baumannii,0,825
Acinetobacter baumannii,14,839
Salmonella enterica,1309,2131
Acinetobacter nosocomialis,0,822
Enterobacter cloacae,0,1146
Klebsiella variicola,153489,154350
Proteus mirabilis,0,1143
Serratia marcescens,0,1137
Pseudomonas aeruginosa,1123,1939
Acinetobacter baumannii,0,654
Acinetobacter baumannii,1205,2033
Acinetobacter baumannii,0,825
Morganella morganii,0,1140
Shigella sp.,0,876
Klebsiella pneumoniae,30,891
Escherichia coli,214,1075
Enterobacter asburiae,0,1146
Escherichia coli,0,813
Klebsiella pneumoniae,0,861
Enterococcus durans,10,562
Achromobacter xylosoxidans,0,828
Klebsiella pneumoniae,0,813
Capnocytophaga ochracea,52,1018
Escherichia coli,510,1323
Acinetobacter baumannii,20,845
Enterobacter asburiae,0,1146
Escherichia coli,0,876
Pseudomonas aeruginosa,0,801
Escherichia coli,3980025,3981183
Enterobacter cloacae,0,1146
Enterobacter hormaechei,0,1146
Klebsiella pneumoniae,2835,3711
Klebsiella pneumoniae,0,861
Stenotrophomonas maltophilia,35038,35500
Proteus mirabilis,157,1033
Acinetobacter pittii,0,435
uncultured bacterium,35394,37224
Staphylococcus aureus,0,492
Pseudomonas aeruginosa,0,852
Citrobacter freundii,1039,2185
Escherichia coli,183,1044
Staphylococcus aureus,1081,1855
Klebsiella pneumoniae,0,861
Escherichia coli,382,1642
Escherichia coli,1621287,1621671
Streptomyces griseus,0,819
Enterococcus faecium,4856,5888
Citrobacter freundii,0,1146
Klebsiella pneumoniae,7,868
Pseudomonas aeruginosa,0,789
Enterobacter cloacae,479,1625
Escherichia coli,0,876
Escherichia coli,208,1069
Klebsiella pneumoniae,113,854
Klebsiella pneumoniae,0,861
Streptococcus uberis,0,495
Acinetobacter baumannii,0,876
Burkholderia cepacia,118,919
Neisseria meningitidis,1791966,1795170
Acinetobacter sp.,0,441
Citrobacter braakii,0,681
Pseudomonas aeruginosa,1569,4710
Agrobacterium fabrum,0,1185
Staphylococcus aureus,0,1353
Shigella sonnei,2970,4245
Corynebacterium glutamicum,11879,13034
Klebsiella pneumoniae,0,861
Escherichia coli,244,1120
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,876
Proteus mirabilis,0,876
Escherichia coli,213,1074
Aeromonas veronii,0,765
Mycolicibacterium smegmatis,0,432
Escherichia coli,208,1069
Klebsiella pneumoniae,1399,2230
Klebsiella pneumoniae,0,858
Escherichia coli,0,861
Fluoribacter gormanii,33,834
Enterobacter cloacae,1263,2142
Paenibacillus popilliae,3396,4278
Enterococcus faecium,4648,5803
Pseudomonas aeruginosa,26,815
Klebsiella pneumoniae,0,801
Klebsiella pneumoniae,0,1146
Stenotrophomonas maltophilia,3767,6917
Escherichia coli,214,1075
Klebsiella pneumoniae,0,831
Escherichia coli,0,861
Pseudomonas aeruginosa,5740,6478
Klebsiella variicola,120291,121152
Acinetobacter baumannii,0,786
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,116,977
uncultured bacterium,38018,38255
Acinetobacter baumannii,0,825
Escherichia coli,0,861
Bacillus subtilis,1236,2439
Acinetobacter sp.,368,806
Acinetobacter baumannii,0,825
Escherichia coli,0,417
Klebsiella pneumoniae,0,786
Enterococcus faecium,6978,8010
Pseudomonas aeruginosa,457139,457877
Klebsiella pneumoniae,0,861
Escherichia coli,124,985
Acinetobacter johnsonii,0,825
Klebsiella pneumoniae,8921,9578
Escherichia coli,0,1146
Citrobacter freundii,5,1151
Klebsiella oxytoca,19526,20000
Escherichia coli,0,645
Stenotrophomonas maltophilia,389,851
Streptomyces fradiae,0,1647
Salmonella enterica,0,876
Escherichia coli,0,861
Klebsiella pneumoniae,175,1036
Acinetobacter baumannii,0,825
Escherichia coli,0,861
Proteus mirabilis,30,906
Proteus mirabilis,0,741
Acinetobacter lwoffii,0,822
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,1611,2457
Escherichia coli,238,1114
Citrobacter freundii,376,1021
Klebsiella pneumoniae,0,861
Mycobacteroides abscessus,3052,3469
Klebsiella pneumoniae,1309,2449
Enterobacter sp.,0,798
Enterobacter cloacae,1640,2516
Citrobacter freundii,1027,2173
Acinetobacter calcoaceticus,0,822
Klebsiella pneumoniae,0,858
Escherichia coli,235,1111
Acinetobacter baumannii,0,825
Hafnia alvei,1564,2737
Escherichia coli,0,861
Acinetobacter baumannii,0,825
Citrobacter freundii,1027,2173
Escherichia coli,36,681
Proteus mirabilis,0,858
Micromonospora chalcea,273,1119
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,2125,3001
Salmonella enterica,38,899
Escherichia coli,1435,2311
Klebsiella pneumoniae,0,858
Klebsiella pneumoniae,0,882
Vibrio parahaemolyticus,0,852
Providencia stuartii,135,996
Acinetobacter baumannii,0,825
Chryseobacterium indologenes,39,759
uncultured bacterium,106,898
Klebsiella pneumoniae,0,681
Klebsiella oxytoca,161,1031
Acinetobacter calcoaceticus,0,822
Burkholderia pseudomallei,0,810
Citrobacter sp.,0,645
Acinetobacter calcoaceticus,0,822
Escherichia coli,39,513
Mycolicibacterium fortuitum,602,1367
Acinetobacter baumannii,2338,2812
Enterococcus faecium,0,1479
uncultured bacterium,1243,2152
Escherichia coli,4304505,4306557
Klebsiella pneumoniae,0,861
Photobacterium damselae,1070,2195
Klebsiella pneumoniae,0,861
Escherichia coli,0,399
Pseudomonas aeruginosa,149,947
Staphylococcus aureus,2295,3195
Alkalihalobacillus clausii,1463,3230
Shigella sonnei,0,861
Klebsiella oxytoca,2373,3519
Streptomyces lincolnensis,317,1763
Enterobacter cloacae,4171,4849
Enterobacter cloacae,191,1079
Micromonospora zionensis,100,925
Streptococcus pneumoniae,1983115,1984810
Pseudomonas aeruginosa,639,1437
Klebsiella pneumoniae,192,1053
Vibrio parahaemolyticus,697533,698385
Streptococcus pneumoniae,1980557,1982324
Escherichia coli,150,945
Klebsiella pneumoniae,19707,20568
Salmonella enterica,74564,75350
uncultured bacterium,52,1180
uncultured bacterium,7570,8479
Staphylococcus aureus,100,1669
Burkholderia cepacia,0,1536
Klebsiella pneumoniae,2374,3520
Enterobacter cloacae,0,1146
Acinetobacter lwoffii,9067,9880
Acinetobacter sp.,100,937
Escherichia coli,3324062,3324911
Streptomyces ambofaciens,796,2050
Streptococcus pneumoniae,866210,867410
Corynebacterium glutamicum,22939,24163
Vibrio harveyi,2212,3322
Bacillus pumilus,0,663
Neisseria gonorrhoeae,1332866,1333499
Staphylococcus aureus,590830,594382
Escherichia coli,3760295,3762710
Staphylococcus aureus,1417762,1419760
Staphylococcus aureus,1278585,1279164
Mycobacterium tuberculosis,4407527,4408202
Enterobacter cloacae,1220,2099
Bradyrhizobium diazoefficiens,6169922,6170807
Escherichia coli,2367070,2368039
Mycobacterium tuberculosis,4246513,4249810
Mycobacterium tuberculosis,410837,412760
Mycobacterium tuberculosis,412756,414238
Klebsiella pneumoniae,622039,622621
Escherichia coli,4990267,4994296
Enterococcus faecium,914819,915452
Staphylococcus aureus,594518,598142
Mycobacterium tuberculosis,2288680,2289241
Bartonella bacilliformis,566,3353
Staphylococcus aureus,590830,594382
Enterococcus faecium,913745,914813
Staphylococcus,7011,9675
Enterococcus faecium,1008840,1010292
Enterococcus faecium,5893,6502
Streptomyces rimosus,0,1056
Campylobacter jejuni,206,2126
Streptococcus pyogenes,0,1956
Mycobacterium tuberculosis,2153888,2156111
Mycobacterium tuberculosis,781559,781934
Staphylococcus aureus,2155375,2156860
Klebsiella pneumoniae,2325636,2326308
Mycobacterium tuberculosis,1416180,1417347
Mycobacterium tuberculosis,4243232,4246517
Bartonella bacilliformis,1406995,1409425
Enterobacter cloacae,0,1146
Mycobacterium tuberculosis,1674201,1675011
Staphylococcus aureus,5036,6968
Mycobacterium tuberculosis,1917939,1918746
Mycobacterium tuberculosis,7301,9818
Mycobacterium tuberculosis,2518114,2519365
Escherichia coli,4166658,4168200
Mycobacterium tuberculosis,1471845,1473382
Neisseria gonorrhoeae,383737,385288
Escherichia coli,1760,2945
Escherichia coli,3901532,3902762
Mycobacterium,0,1441
Clostridioides difficile,109610,110804
Escherichia coli,2336792,2339420
Escherichia coli,4277468,4277933
Escherichia coli,3172159,3174052
Escherichia coli,4277059,4277383
Klebsiella pneumoniae,489264,489915
Mycobacterium leprae,296695,297550
Mycobacterium tuberculosis,4326003,4327473
Salmonella enterica,3343968,3345861
Salmonella enterica,4503985,4504309
Enterococcus faecalis,2790820,2791552
Staphylococcus aureus,384,2376
Streptococcus pyogenes,878481,879282
Escherichia coli,1619119,1619554
Pasteurella multocida,341426,342977
Escherichia coli,3470144,3471329
Mycobacterium tuberculosis,1471845,1473382
Clostridium perfringens,1302,1803
Bacillus subtilis,916777,919348
Mycobacterium tuberculosis,4246513,4249810
Staphylococcus aureus,0,2511
Mycobacterium tuberculosis,2101650,2103042
Neisseria gonorrhoeae,19,1066
Mycobacterium tuberculosis,4239862,4243147
Mycobacterium leprae,5228,7265
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Salmonella enterica,3570462,3572006
Mycobacterium tuberculosis,5239,7267
Mycolicibacterium smegmatis,3823614,3825143
Staphylococcus,1397969,1400372
Morganella morganii,545199,547614
Mycobacterium leprae,7317,11067
Salmonella enterica,4038867,4041282
Klebsiella aerogenes,36,1164
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Salmonella enterica,613435,614017
Mycobacterium tuberculosis,1471845,1473382
Neisseria meningitidis,60970,62514
Pseudomonas aeruginosa,0,1194
Pseudomonas aeruginosa,177306,178458
Pseudomonas aeruginosa,178454,179525
Pseudomonas aeruginosa,179521,182569
Pseudomonas aeruginosa,5584100,5585549
Acinetobacter baumannii,0,825
Enterobacter cloacae,0,1146
Pseudomonas aeruginosa,3556426,3559198
Pseudomonas aeruginosa,22,1180
Acinetobacter baumannii,0,1152
Pseudomonas aeruginosa,1176,4338
Salmonella enterica,4349504,4349963
Chlamydia psittaci,0,1507
Borreliella burgdorferi,0,1477
Mycobacterium tuberculosis,1471845,1473382
Borreliella burgdorferi,0,1536
Borreliella burgdorferi,0,1477
Mycobacterium,0,1441
Mycobacteroides abscessus,1462397,1463901
Mycobacterium,0,1441
Mycobacteroides abscessus,1462397,1463901
Mycobacteroides abscessus,1462397,1463901
Cutibacterium acnes,0,1486
Mycobacterium,0,1441
Mycobacterium,0,1441
Mycobacteroides abscessus,1462397,1463901
Mycobacteroides abscessus,1462397,1463901
Pseudomonas aeruginosa,5576027,5577917
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Escherichia coli,4166658,4168200
Escherichia coli,3163714,3165973
Mycoplasma hominis,660262,663064
Escherichia coli,3941807,3943349
Escherichia coli,4166658,4168200
Mycolicibacterium smegmatis,0,1454
Mycolicibacterium smegmatis,3823614,3825143
Mycolicibacterium smegmatis,3823614,3825143
Mycolicibacterium smegmatis,5027947,5029475
Mycolicibacterium smegmatis,5027947,5029475
Mycolicibacterium smegmatis,5027947,5029475
Mycolicibacterium smegmatis,3823614,3825143
Pseudomonas aeruginosa,4119269,4120373
Pseudomonas aeruginosa,4116187,4119265
Pseudomonas aeruginosa,4903465,4904596
Pseudomonas aeruginosa,4904646,4907703
Pseudomonas aeruginosa,4334,5810
Pseudomonas aeruginosa,21,1179
Pseudomonas aeruginosa,1175,4286
Pseudomonas aeruginosa,1194,1749
Vibrio cholerae,10010,10865
Pedobacter sp.,4318,5179
Pedobacter sp.,5817,6675
Pedobacter sp.,2260,2974
Chryseobacterium sp.,1328,2201
Chryseobacterium sp.,1642,2515
Massilia sp.,0,1026
Massilia sp.,1022,1841
Sphingomonas sp.,1254,2112
Acinetobacter sp.,307089,307932
Serratia fonticola,1053,1941
Pseudomonas aeruginosa,0,1194
Streptomyces coelicolor,50871,51864
Staphylococcus saprophyticus,166813,167455
Escherichia coli,33232,33889
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,2255674,2256463
Acinetobacter baumannii,3758031,3758934
Planobispora rosea,476,1670
Photobacterium damselae,143423,144308
Pseudomonas aeruginosa,1043982,1045314
Desulfitobacterium hafniense,166343,167390
Acinetobacter baumannii,0,825
Escherichia coli,0,786
Brachyspira pilosicoli,0,810
Yersinia enterocolitica,69,735
synthetic construct,0,522
Streptomyces antibioticus,1527,2505
Mammaliicoccus sciuri,0,1626
Streptococcus pneumoniae,2148923,2149772
Citrobacter freundii,0,1146
Klebsiella pneumoniae,0,657
Enterococcus faecium,688,1390
Pseudomonas aeruginosa,2796,3996
Listeria monocytogenes,5693,8291
Brucella suis,568280,570923
Clostridium perfringens,1756064,1757774
Streptococcus agalactiae,2111276,2113820
Staphylococcus aureus,90,2844
Escherichia coli,1414817,1416077
Mycobacterium tuberculosis,1470320,1471577
Mycoplasma genitalium,171727,174461
Bacillus thuringiensis,189532,190432
Pseudomonas aeruginosa,1685,2945
Desulfitobacterium hafniense,4201992,4202691
Desulfitobacterium hafniense,1776504,1777113
Staphylococcus aureus,52819,53458
Staphylococcus aureus,0,2511
Enterococcus faecalis,31476,33444
Enterococcus faecium,0,1503
Acinetobacter baumannii,0,1152
Staphylococcus aureus,2257045,2258311
Acinetobacter baumannii,0,1167
Acinetobacter baumannii,954,2106
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Pseudomonas aeruginosa,404,1235
Escherichia coli,0,1146
Acinetobacter baumannii,0,1152
Borreliella burgdorferi,490643,491927
Escherichia coli,0,861
Mycobacterium tuberculosis,2101650,2103042
Escherichia coli,2551711,2552440
Clostridioides difficile,370,1696
Achromobacter dolens,0,828
Streptomyces cinnamoneus,361,1555
Campylobacter jejuni,957630,960222
Acinetobacter baumannii,2990040,2992755
Enterococcus faecalis,1661364,1663635
Enterococcus faecalis,10732,12709
Escherichia coli,485760,486408
Acinetobacter baumannii,0,822
Enterococcus faecium,1854250,1854982
Enterococcus faecalis,2789720,2790824
Enterococcus faecalis,2789113,2789746
Brachyspira pilosicoli,0,810
Nocardia farcinica,302,1196
Klebsiella variicola,0,861
Serratia marcescens,149223,150153
Acinetobacter baumannii,0,1152
Citrobacter freundii,1420,2572
Serratia marcescens,26117,26690
Enterobacter cloacae,3491,4376
Escherichia coli,721055,721733
Klebsiella pneumoniae,0,861
Oligella urethralis,1141,2293
Escherichia coli,0,861
Bifidobacterium breve,34384,35299
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,729
Staphylococcus aureus,1278585,1279164
Staphylococcus aureus,25616,27443
Acinetobacter,3045126,3047346
Acinetobacter baumannii,3513469,3514780
Myroides odoratimimus,0,741
Escherichia coli,1214,1751
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Klebsiella aerogenes,308,767
Klebsiella pneumoniae,1678,2323
Escherichia coli,163458,164103
Corynebacterium striatum,4565,6107
Salmonella enterica,176,650
Alkalihalobacillus halodurans,100,955
Proteus mirabilis,335,809
Yersinia ruckeri,93826,94402
Aeromonas hydrophila,0,1143
Clostridioides difficile,5272,6322
Pseudomonas aeruginosa,4166517,4167159
Escherichia coli,2934266,2935658
Escherichia coli,2233288,2234647
Pseudomonas aeruginosa,1278361,1279708
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Acinetobacter baylyi,0,1194
Acinetobacter pittii,0,1152
Acinetobacter pittii,0,1152
Escherichia coli,2930707,2931298
Escherichia coli,2930707,2931298
Escherichia coli,2786398,2788945
Acinetobacter baumannii,0,1152
Escherichia coli,776,1433
Alkalihalobacillus clausii,214,985
Acinetobacter baumannii,0,1152
Helcococcus kunzii,80337,81078
Citrobacter freundii,5615,6095
Aeromonas dhakensis,0,1149
Klebsiella pneumoniae,0,861
Aeromonas sobria,1176,1977
Neisseria gonorrhoeae,0,861
Escherichia coli,46651,47827
Escherichia coli,47850,51003
Pseudomonas aeruginosa,2806,3640
Streptococcus pneumoniae,752240,754721
Ureaplasma parvum,531446,533999
Haemophilus parainfluenzae,1996520,1999166
Haemophilus parainfluenzae,1905162,1907418
Salmonella enterica,2373709,2376346
Neisseria gonorrhoeae,1807358,1807670
Capnocytophaga gingivalis,24238,26749
Acinetobacter sp.,279443,280280
Salmonella enterica,3336953,3339212
Staphylococcus aureus,2693,3518
Shigella flexneri,2352231,2354859
Shigella flexneri,3159154,3161413
Neisseria meningitidis,419828,421574
Aspergillus fumigatus,0,4359
Citrobacter freundii,0,774
Streptococcus pneumoniae,1494215,1496273
Paenibacillus sp.,3931126,3932167
Acinetobacter baumannii,0,825
Brachyspira pilosicoli,0,810
Pseudomonas aeruginosa,1936,2725
Serratia fonticola,1053,1941
Francisella philomiragia,78318,79185
Staphylococcus aureus,951801,952740
Staphylococcus aureus,378555,379914
Escherichia coli,2786398,2788945
Cutibacterium acnes,1004589,1007265
Staphylococcus aureus,246977,248357
Escherichia coli,0,657
Streptomyces lividans,39,822
Enterococcus faecalis,35858,37586
Enterococcus faecium,0,1086
Pseudomonas aeruginosa,0,1194
Escherichia coli,966620,968369
Haemophilus influenzae,1144673,1146068
Clostridioides difficile,0,2900
Enterococcus faecium,284,1571
Mycobacterium tuberculosis,3153038,3154631
Neisseria meningitidis,329612,330767
Neisseria meningitidis,330790,332317
Escherichia coli,0,813
Helicobacter pylori,1249487,1250819
Streptococcus pyogenes,1769089,1770310
Pseudomonas aeruginosa,1277687,1278365
Acinetobacter baumannii,0,1152
Mycolicibacterium smegmatis,170,1685
Enterococcus gallinarum,53,1109
Escherichia coli,186,828
Proteus mirabilis,879,1533
Listeria monocytogenes,92,740
Bacteroides fragilis,794,2000
Klebsiella oxytoca,144510,145143
Listeria monocytogenes,954744,956316
Staphylococcus aureus,63138,63558
Aeromonas veronii,240178,241801
Staphylococcus cohnii,410229,410874
Staphylococcus aureus,477,1644
Klebsiella pneumoniae,1904307,1904991
Klebsiella pneumoniae,3727881,3728985
Staphylococcus haemolyticus,121,541
Staphylococcus aureus,98,518
Burkholderia glumae,12438,13221
Acinetobacter bohemicus,220588,221443
Clostridium ljungdahlii,4454798,4458527
Enterococcus faecium,659,1685
Staphylococcus aureus,2339,2759
Pseudomonas aeruginosa,4757,5552
Acinetobacter sp.,299938,300775
Acinetobacter johnsonii,0,825
Acinetobacter baumannii,0,825
Enterobacter cloacae,0,1146
Escherichia coli,0,1626
Streptomyces lavendulae,529,1099
Mycobacterium tuberculosis,4246513,4249810
Halobacterium salinarum,0,1473
Helicobacter pylori,1511156,1512657
Klebsiella variicola,0,861
Acinetobacter sp.,100,937
Mycobacterium tuberculosis,222288,223530
Mycobacterium tuberculosis,330932,331658
Mycobacteroides chelonae,0,3113
uncultured bacterium,24054,25302
Staphylococcus aureus,0,420
Klebsiella aerogenes,14138,14882
Streptomyces rimosus,0,804
Paenibacillus sp.,0,864
Paenibacillus sp.,0,654
Paenibacillus sp.,0,2259
Paenibacillus sp.,0,1947
Paenibacillus sp.,0,633
Paenibacillus sp.,0,723
Paenibacillus sp.,0,594
Paenibacillus sp.,0,927
Paenibacillus sp.,0,2655
Paenibacillus sp.,0,486
Transposon Tn4551,1120,1984
Escherichia coli,0,1626
Escherichia coli,51583,53212
Clostridioides difficile,99212,102698
Acinetobacter lwoffii,3238,4027
Pseudomonas aeruginosa,2854010,2855291
Paenibacillus sp.,0,1032
Paenibacillus sp.,0,891
Salmonella enterica,16013,17633
Escherichia coli,1173,1965
Staphylococcus cohnii,3569,5144
uncultured bacterium,167,998
Clostridioides difficile,6065,8492
Staphylococcus aureus,17042,17462
Escherichia coli,54,876
Escherichia coli,0,1626
Escherichia coli,0,1626
Escherichia coli,0,1626
Acinetobacter sp.,269861,270698
Brachyspira hyodysenteriae,0,1518
Acinetobacter baumannii,0,825
Ralstonia mannitolilytica,669855,670683
Acinetobacter baumannii,76,898
Serratia fonticola,1053,1941
Enterobacter asburiae,0,885
Klebsiella variicola,0,861
Escherichia coli,0,813
Mycobacterium tuberculosis,575347,576790
Acinetobacter baumannii,2803996,2805148
Acinetobacter baumannii,0,1152
Escherichia coli,1846,2668
Escherichia coli,0,1626
Escherichia coli,0,1626
Enterobacter cloacae,0,1626
Acinetobacter baumannii,0,825
Acinetobacter baumannii,266252,267077
Acinetobacter sp.,273958,274795
Acinetobacter baumannii,0,825
Acinetobacter baumannii,0,1152
Escherichia coli,324,1482
Ralstonia mannitolilytica,0,816
Acinetobacter baumannii,83,905
Serratia fonticola,1053,1941
Enterobacter cloacae,0,885
Francisella tularensis,630303,631167
Elizabethkingia meningoseptica,0,873
Klebsiella sp.,3042328,3043189
Klebsiella pneumoniae,0,813
Acinetobacter baumannii,0,1152
Mycolicibacterium smegmatis,5027947,5029475
Mycobacterium tuberculosis,3043025,3044378
Klebsiella pneumoniae,1587,3213
Escherichia coli,0,1626
Klebsiella pneumoniae,1,706
Acinetobacter baumannii,465153,465978
Acinetobacter sp.,288118,288976
Acinetobacter baumannii,0,825
Streptomyces lividans,0,1257
Acinetobacter baumannii,0,1152
Acinetobacter baumannii,0,1152
Escherichia coli,0,1626
Acinetobacter radioresistens,291557,292379
Acinetobacter baumannii,416598,417423
Acinetobacter sp.,159905,160763
Pseudomonas aeruginosa,1884344,1885022
Acinetobacter baumannii,0,825
Campylobacter jejuni,0,750
Klebsiella pneumoniae,0,798
Serratia fonticola,1053,1941
Elizabethkingia meningoseptica,0,879
Klebsiella variicola,119723,120584
Mycobacterium tuberculosis,2391214,2392459
uncultured bacterium,0,1740
Streptococcus australis,373,2098
Streptococcus australis,2099,3836
uncultured bacterium,0,1740
Escherichia coli,3307,4522
Pseudomonas aeruginosa,2846282,2847779
Escherichia coli,0,1641
Serratia fonticola,0,705
Acinetobacter baumannii,414,1428
Pseudomonas aeruginosa,5606102,5606435
Escherichia coli,485,818
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,793,1990
Enterobacter cloacae,299,1493
Escherichia coli,484425,485619
Acinetobacter haemolyticus,286900,287728
Acinetobacter bouvetii,31095,31929
Serratia marcescens,0,786
Campylobacter jejuni,0,774
Pseudomonas aeruginosa,97677,98466
Serratia fonticola,1053,1941
Elizabethkingia meningoseptica,0,873
Klebsiella variicola,322202,323063
Streptococcus pneumoniae,0,2253
Acinetobacter baumannii,0,1152
Mycobacterium tuberculosis,3537237,3538362
Pseudomonas aeruginosa,5979156,5980365
Pseudomonas aeruginosa,471305,471749
Acinetobacter pittii,0,1152
Pseudomonas aeruginosa,4006509,4007148
Acinetobacter baumannii,0,825
Bacillus cereus,72074,72986
Pseudomonas aeruginosa,4165718,4165880
Acinetobacter haemolyticus,1356634,1357462
Staphylococcus aureus,497113,500039
Pseudomonas aeruginosa,5155560,5156124
Acinetobacter bereziniae,255915,256746
Pseudomonas aeruginosa,5155560,5156124
Acinetobacter baumannii,0,825
